"attempt_cnt","failed_attempts","failed_attempts_prc"
54,Python. ДЗ 11: Именованные и позиционные аргументы,90.74
54,Python. ДЗ 7: Пополнение словаря,87.04
89,Python. ДЗ 2: Создание многострочных строк,82.02
31,Python. ДЗ 3: Комплексная работа со строками,80.65
77,Python. ДЗ 3: Стрип строки,79.22
62,Python. ДЗ 2: Строки с экранированием,77.42
57,Python. ДЗ 3: Сплит строки,77.19
69,Python. ДЗ 1: Округление числа,73.91
48,Декоратор для контроля уникальности аргументов,72.92
93,Сумма 2 чисел,70.97
68,Python. ДЗ 1: Округление вниз,70.59
45,Python. ДЗ 5: Ограничить число границами диапазона,68.89
35,Python. ДЗ 5: Аналог switch-case в языке Python,65.71
99,NEW! SQL. ДЗ 5. Следующее/предыдущее значение,63.64
73,Python. ДЗ 1: Опеределение типа переменной,63.01
51,Python. ДЗ 1: Экспоненциальная запись числа,62.75
158,"SQL. ДЗ 3. Категории анализов, которые не заказывали",61.39
188,NEW! SQL. ДЗ 1. Расчет наценки,61.17
92,SQL. ДЗ 5. Нумерация строк чека,60.87
123,SQL. ДЗ 4. Количество чеков по сотрудникам,60.16
35,Numpy. ДЗ 1: Статистическая обработка массива,60.00
120,SQL. ДЗ 4. Сотрудники с максимальными накоплениями,59.17
128,SQL. ДЗ 3. Фильтр по наценке и по группе,58.59
109,SQL. ДЗ 4. Начисления с разбивкой по сотрудникам и по типу скидки,57.80
179,SQL. ДЗ 1. Поиск по слову в названии,54.75
32,Numpy. ДЗ 1: Индексация массива и срезы,53.13
155,SQL. ДЗ 1. Возраст клиентов,52.26
92,SQL. ДЗ 4. Чеки за период дат,52.17
85,NEW! SQL. ДЗ 4. Фильтрация агрегированных значений,50.59
58,NEW! SQL. ДЗ 6. Прирост начислений,50.00
73,NEW! SQL. ДЗ 5. Ранжирование с разрывами,49.32
39,Numpy. ДЗ 1: Создание массива из списка,48.72
137,NEW! SQL. ДЗ 2. Фильтр по длине слов,47.45
66,SQL. ДЗ 5. Нарастающий итог,46.97
48,Python. ДЗ 1: Создание числовой переменной,45.83
94,NEW! SQL. ДЗ 3. Минимальное значение по лексикографическому принципу,43.62
77,NEW! SQL. ДЗ 4. Второй и третий сотрудник,42.86
56,NEW! SQL. ДЗ 6. Среднее значение транзакций,42.86
113,SQL. ДЗ 3. Смоделировать EXCEPT через JOIN,42.48
118,NEW! SQL. ДЗ 2. Поиск значений из списка,40.68
57,NEW! SQL. ДЗ 5. Ранжирование без разрывов,40.35
89,NEW! SQL. ДЗ 3. Транзитивная связь,39.33
109,NEW! SQL. ДЗ 2. Регулярные выражения,37.61
115,SQL. ДЗ 1. Нечетные ID,36.52
106,SQL. ДЗ 1. Найти ошибку в запросе,31.13
67,SQL. ДЗ 4. Поиск дублей группировкой,29.85
95,NEW! SQL. ДЗ 2. Комбинирование условий фильтрации,26.32
135,SQL. ДЗ 1. Анализы в диапазоне цен,25.93
107,SQL. ДЗ 1. Уникальные типы анализов,22.43
89,NEW! SQL. ДЗ 1. Смешанная сортировка,19.10
90,NEW! SQL. ДЗ 1. Фильтр и сортировка розничной цены,18.89
90,SQL. ДЗ 1. Начало телефонного номера,14.44
82,NEW! SQL. ДЗ 2. Фильтр строк неравенством,9.76
73,NEW! SQL. ДЗ 2. Отсутствие пропусков,8.22
76,SQL. ДЗ 1. Конец телефонного номера,2.63
